"AAR_KVARTAL";"FYLKE";"ANTALL";"PROSENT"
"2021K2";"46 Vestland";77096;11,7
"2021K2";"50 Trøndelag - Trööndelage";56845;8,6
"2021K2";"55 Troms - Romsa - Tromssa ";19554;3
"2021K2";"56 Finnmark - Finnmárku - Finmarkku";8583;1,3
"2021K2";"98 Utland";3657;0,6
"2021K2";"99 Ukjent";43;0
"2021K3";"00 I alt";657760;100
"2021K3";"03 Oslo";78540;11,9
"2021K3";"11 Rogaland";62921;9,6
"2021K3";"15 Møre og Romsdal";31750;4,8
"2021K3";"18 Nordland - Nordlánnda";28002;4,3
"2021K3";"31 Østfold";36736;5,6
"2021K3";"32 Akershus";94317;14,3
"2021K3";"33 Buskerud";32092;4,9
"2021K3";"34 Innlandet";40856;6,2
"2021K3";"39 Vestfold";30072;4,6
"2021K3";"40 Telemark";19889;3
"2021K3";"42 Agder";37819;5,7
"2021K3";"46 Vestland";76501;11,6
"2021K3";"50 Trøndelag - Trööndelage";56460;8,6
"2021K3";"55 Troms - Romsa - Tromssa ";19388;2,9
"2021K3";"56 Finnmark - Finnmárku - Finmarkku";8496;1,3
"2021K3";"98 Utland";3892;0,6
"2021K3";"99 Ukjent";29;0
"2021K4";"00 I alt";660008;100
"2021K4";"03 Oslo";78532;11,9
"2021K4";"11 Rogaland";62978;9,5
"2021K4";"15 Møre og Romsdal";31672;4,8
"2021K4";"18 Nordland - Nordlánnda";28003;4,2
"2021K4";"31 Østfold";36873;5,6
"2021K4";"32 Akershus";95130;14,4
"2021K4";"33 Buskerud";32377;4,9
"2021K4";"34 Innlandet";40888;6,2
"2021K4";"39 Vestfold";30250;4,6
"2021K4";"40 Telemark";19976;3
"2021K4";"42 Agder";37983;5,8
"2021K4";"46 Vestland";76679;11,6
"2021K4";"50 Trøndelag - Trööndelage";56763;8,6
"2021K4";"55 Troms - Romsa - Tromssa ";19381;2,9
"2021K4";"56 Finnmark - Finnmárku - Finmarkku";8495;1,3
"2021K4";"98 Utland";3973;0,6
"2021K4";"99 Ukjent";55;0
"2022K1";"00 I alt";662233;100
"2022K1";"03 Oslo";79126;11,9
"2022K1";"11 Rogaland";63174;9,5
"2022K1";"15 Møre og Romsdal";31737;4,8
"2022K1";"18 Nordland - Nordlánnda";28078;4,2
"2022K1";"31 Østfold";36881;5,6
"2022K1";"32 Akershus";95610;14,4
"2022K1";"33 Buskerud";32528;4,9
"2022K1";"34 Innlandet";40871;6,2
"2022K1";"39 Vestfold";30317;4,6
"2022K1";"40 Telemark";19990;3
"2022K1";"42 Agder";38060;5,7
"2022K1";"46 Vestland";77048;11,6
"2022K1";"50 Trøndelag - Trööndelage";56852;8,6
"2022K1";"55 Troms - Romsa - Tromssa ";19420;2,9
"2022K1";"56 Finnmark - Finnmárku - Finmarkku";8500;1,3
"2022K1";"98 Utland";3998;0,6
"2022K1";"99 Ukjent";43;0
"2022K2";"00 I alt";662121;100
"2022K2";"03 Oslo";79330;12
"2022K2";"11 Rogaland";63159;9,5
"2022K2";"15 Møre og Romsdal";31634;4,8
"2022K2";"18 Nordland - Nordlánnda";27948;4,2
"2022K2";"31 Østfold";36888;5,6
"2022K2";"32 Akershus";95749;14,5
"2022K2";"33 Buskerud";32509;4,9
"2022K2";"34 Innlandet";40801;6,2
"2022K2";"39 Vestfold";30268;4,6
"2022K2";"40 Telemark";19907;3
"2022K2";"42 Agder";38068;5,7
"2022K2";"46 Vestland";76942;11,6
"2022K2";"50 Trøndelag - Trööndelage";56857;8,6
"2022K2";"55 Troms - Romsa - Tromssa ";19391;2,9
"2022K2";"56 Finnmark - Finnmárku - Finmarkku";8452;1,3
"2022K2";"98 Utland";4131;0,6
"2022K2";"99 Ukjent";87;0
"2022K3";"00 I alt";661887;100
"2022K3";"03 Oslo";79218;12
"2022K3";"11 Rogaland";63178;9,5
"2022K3";"15 Møre og Romsdal";31548;4,8
"2022K3";"18 Nordland - Nordlánnda";27744;4,2
"2022K3";"31 Østfold";36951;5,6
"2022K3";"32 Akershus";96108;14,5
"2022K3";"33 Buskerud";32499;4,9
"2022K3";"34 Innlandet";40753;6,2
"2022K3";"39 Vestfold";30313;4,6
"2022K3";"40 Telemark";19856;3
"2022K3";"42 Agder";38177;5,8
"2022K3";"46 Vestland";76777;11,6
"2022K3";"50 Trøndelag - Trööndelage";56767;8,6
"2022K3";"55 Troms - Romsa - Tromssa ";19241;2,9
"2022K3";"56 Finnmark - Finnmárku - Finmarkku";8400;1,3
"2022K3";"98 Utland";4287;0,6
"2022K3";"99 Ukjent";70;0
"2022K4";"00 I alt";662646;100
"2022K4";"03 Oslo";79343;12
"2022K4";"11 Rogaland";63253;9,5
"2022K4";"15 Møre og Romsdal";31486;4,8
"2022K4";"18 Nordland - Nordlánnda";27672;4,2
"2022K4";"31 Østfold";37047;5,6
"2022K4";"32 Akershus";96401;14,5
"2022K4";"33 Buskerud";32537;4,9
"2022K4";"34 Innlandet";40668;6,1
"2022K4";"39 Vestfold";30340;4,6
"2022K4";"40 Telemark";19894;3
"2022K4";"42 Agder";38269;5,8
"2022K4";"46 Vestland";76797;11,6
"2022K4";"50 Trøndelag - Trööndelage";56805;8,6
"2022K4";"55 Troms - Romsa - Tromssa ";19259;2,9
"2022K4";"56 Finnmark - Finnmárku - Finmarkku";8366;1,3
"2022K4";"98 Utland";4402;0,7
"2022K4";"99 Ukjent";107;0
"2023K1";"00 I alt";662951;100
"2023K1";"03 Oslo";79599;12
"2023K1";"11 Rogaland";63326;9,6
"2023K1";"15 Møre og Romsdal";31469;4,7
"2023K1";"18 Nordland - Nordlánnda";27644;4,2
