"AARMND";"PX_DATA";"STATISTIKKVARIABEL_TELLING";"REGION";"STATISTIKKVARIABEL_REGION";"HOVEDGRUPPETEKST"
202502;477;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
202503;493;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
202504;434;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
202505;440;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
202506;451;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
202507;362;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
202508;391;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
202501;1425;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202502;1297;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202503;1289;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202504;1204;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202505;1198;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202506;1248;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202507;1283;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202508;1312;"antall";"3107 Fredrikstad";"kommune";"Helt ledige"
202501;0,9;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202502;1;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202503;1;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202504;0,9;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202505;0,9;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202506;0,6;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202507;0,5;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202508;0,5;"prosent";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202501;1;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202502;1,1;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202503;1,2;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202504;1;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202505;1,1;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202506;1,1;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202507;0,9;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202508;0,9;"prosent";"3107 Fredrikstad";"kommune";"Delvis ledige"
202501;3,4;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202502;3,1;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202503;3,1;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202504;2,9;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202505;2,9;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202506;3;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202507;3,1;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202508;3,2;"prosent";"3107 Fredrikstad";"kommune";"Helt ledige"
202501;12;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202502;9;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202503;13;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202504;10;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202505;9;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202506;6;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202507;6;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202508;;"antall";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202501;20;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202502;19;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202503;29;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202504;22;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202505;21;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202506;20;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202507;12;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202508;12;"antall";"3110 Hvaler";"kommune";"Delvis ledige"
202501;43;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202502;54;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202503;47;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202504;39;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202505;41;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202506;38;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202507;39;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202508;47;"antall";"3110 Hvaler";"kommune";"Helt ledige"
202501;0,5;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202502;0,4;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202503;0,6;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202504;0,5;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202505;0,4;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202506;0,3;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202507;0,3;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
202508;;"prosent";"3110 Hvaler";"kommune";"Arbeidssøkere på tiltak"
